timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,satisfais,satisfais,satisfait,satisfais,satisfais,satisfait,,,,
IND-IM,satisfaisais,satisfaisais,satisfaisait,satisfaisais,satisfaisais,satisfaisait,,,,
IND-FS,satisferai,satisferas,satisfera,satisferai,satisferas,satisfera,,,,
IND-PS,satisfis,satisfis,satisfit,satisfis,satisfis,satisfit,,,,
SUB-PR,satisfasse,satisfasses,satisfasse,satisfasse,satisfasses,satisfasse,,,,
SUB-IM,satisfisse,satisfisses,satisf̨t,satisfisse,satisfisses,satisf̨t,,,,
CON-PR,satisferais,satisferais,satisferait,satisferais,satisferais,satisferait,,,,
IMP-PR,,satisfais,,,satisfais,,,,,
PAR-PR,,,satisfaisant,,,satisfaisant,,,,
