timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,peins,peins,peint,peins,peins,peint,,,,
IND-IM,peignais,peignais,peignait,peignais,peignais,peignait,,,,
IND-FS,peindrai,peindras,peindra,peindrai,peindras,peindra,,,,
IND-PS,peignis,peignis,peignit,peignis,peignis,peignit,,,,
SUB-PR,peigne,peignes,peigne,peigne,peignes,peigne,,,,
SUB-IM,peignisse,peignisses,peign̨t,peignisse,peignisses,peign̨t,,,,
CON-PR,peindrais,peindrais,peindrait,peindrais,peindrais,peindrait,,,,
IMP-PR,,peins,,,peins,,,,,
PAR-PR,,,peignant,,,peignant,,,,
