1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:refends,refends,refend,refendons,refendez,refendent,,,,,,,,,,,,
indicatif imparfait:refendais,refendais,refendait,refendions,refendiez,refendaient,,,,,,,,,,,,
indicatif futur simple:refendrai,refendras,refendra,refendrons,refendrez,refendront,,,,,,,,,,,,
indicatif passé simple:refendis,refendis,refendit,refendîmes,refendîtes,refendirent,,,,,,,,,,,,
subjonctif présent:refende,refendes,refende,refendions,refendiez,refendent,,,,,,,,,,,,
subjonctif imparfait:refendisse,refendisses,refendÃ®t,refendissions,refendissiez,refendissent,,,,,,,,,,,,
conditionnel présent:refendrais,refendrais,refendrait,refendrions,refendriez,refendraient,,,,,,,,,,,,
impératif présent:,refends,,refendons,refendez,,,,,,,,,,,,,
participe présent:,,refendant,,,,,,,,,,,,,,,
