timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,retends,retends,retend,retends,retends,retend,,,,
IND-IM,retendais,retendais,retendait,retendais,retendais,retendait,,,,
IND-FS,retendrai,retendras,retendra,retendrai,retendras,retendra,,,,
IND-PS,retendis,retendis,retendit,retendis,retendis,retendit,,,,
SUB-PR,retende,retendes,retende,retende,retendes,retende,,,,
SUB-IM,retendisse,retendisses,retend̨t,retendisse,retendisses,retend̨t,,,,
CON-PR,retendrais,retendrais,retendrait,retendrais,retendrais,retendrait,,,,
IMP-PR,,retends,,,retends,,,,,
PAR-PR,,,retendant,,,retendant,,,,
