1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:reperds,reperds,reperd,reperdons,reperdez,reperdent,,,,,,,,,,,,
indicatif imparfait:reperdais,reperdais,reperdait,reperdions,reperdiez,reperdaient,,,,,,,,,,,,
indicatif futur simple:reperdrai,reperdras,reperdra,reperdrons,reperdrez,reperdront,,,,,,,,,,,,
indicatif passé simple:reperdis,reperdis,reperdit,reperdîmes,reperdîtes,reperdirent,,,,,,,,,,,,
subjonctif présent:reperde,reperdes,reperde,reperdions,reperdiez,reperdent,,,,,,,,,,,,
subjonctif imparfait:reperdisse,reperdisses,reperdÃ®t,reperdissions,reperdissiez,reperdissent,,,,,,,,,,,,
conditionnel présent:reperdrais,reperdrais,reperdrait,reperdrions,reperdriez,reperdraient,,,,,,,,,,,,
impératif présent:,reperds,,reperdons,reperdez,,,,,,,,,,,,,
participe présent:,,reperdant,,,,,,,,,,,,,,,
