timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,ceins,ceins,ceint,ceins,ceins,ceint,,,,
IND-IM,ceignais,ceignais,ceignait,ceignais,ceignais,ceignait,,,,
IND-FS,ceindrai,ceindras,ceindra,ceindrai,ceindras,ceindra,,,,
IND-PS,ceignis,ceignis,ceignit,ceignis,ceignis,ceignit,,,,
SUB-PR,ceigne,ceignes,ceigne,ceigne,ceignes,ceigne,,,,
SUB-IM,ceignisse,ceignisses,ceign̨t,ceignisse,ceignisses,ceign̨t,,,,
CON-PR,ceindrais,ceindrais,ceindrait,ceindrais,ceindrais,ceindrait,,,,
IMP-PR,,ceins,,,ceins,,,,,
PAR-PR,,,ceignant,,,ceignant,,,,
