1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:éprends,éprends,éprend,éprenons,éprenez,éprennent,,,,,,,,,,,,
indicatif imparfait:éprenais,éprenais,éprenait,éprenions,épreniez,éprenaient,,,,,,,,,,,,
indicatif futur simple:éprendrai,éprendras,éprendra,éprendrons,éprendrez,éprendront,,,,,,,,,,,,
indicatif passé simple:épris,épris,éprit,éprîmes,éprîtes,éprirent,,,,,,,,,,,,
subjonctif présent:éprenne,éprennes,éprenne,éprenions,épreniez,éprennent,,,,,,,,,,,,
subjonctif imparfait:éprisse,éprisses,éprît,éprissions,éprissiez,éprissent,,,,,,,,,,,,
conditionnel présent:éprendrais,éprendrais,éprendrait,éprendrions,éprendriez,éprendraient,,,,,,,,,,,,
impératif présent:,éprends,,éprenons,éprenez,,,,,,,,,,,,,
participe présent:,,Ã©prenant,,,,,,,,,,,,,,,
