timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,suffis,suffis,suffit,suffis,suffis,suffit,,,,
IND-IM,suffisais,suffisais,suffisait,suffisais,suffisais,suffisait,,,,
IND-FS,suffirai,suffiras,suffira,suffirai,suffiras,suffira,,,,
IND-PS,suffis,suffis,suffit,suffis,suffis,suffit,,,,
SUB-PR,suffise,suffises,suffise,suffise,suffises,suffise,,,,
SUB-IM,suffisse,suffisses,suff̨t,suffisse,suffisses,suff̨t,,,,
CON-PR,suffirais,suffirais,suffirait,suffirais,suffirais,suffirait,,,,
IMP-PR,,suffis,,,suffis,,,,,
PAR-PR,,,suffisant,,,suffisant,,,,
