timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,revends,revends,revend,revends,revends,revend,,,,
IND-IM,revendais,revendais,revendait,revendais,revendais,revendait,,,,
IND-FS,revendrai,revendras,revendra,revendrai,revendras,revendra,,,,
IND-PS,revendis,revendis,revendit,revendis,revendis,revendit,,,,
SUB-PR,revende,revendes,revende,revende,revendes,revende,,,,
SUB-IM,revendisse,revendisses,revend̨t,revendisse,revendisses,revend̨t,,,,
CON-PR,revendrais,revendrais,revendrait,revendrais,revendrais,revendrait,,,,
IMP-PR,,revends,,,revends,,,,,
PAR-PR,,,revendant,,,revendant,,,,
