1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:reconduis,reconduis,reconduit,reconduisons,reconduisez,reconduisent,,,,,,,,,,,,
indicatif imparfait:reconduisais,reconduisais,reconduisait,reconduisions,reconduisiez,reconduisaient,,,,,,,,,,,,
indicatif futur simple:reconduirai,reconduiras,reconduira,reconduirons,reconduirez,reconduiront,,,,,,,,,,,,
indicatif passé simple:reconduisis,reconduisis,reconduisit,reconduisîmes,reconduisîtes,reconduisirent,,,,,,,,,,,,
subjonctif présent:reconduise,reconduises,reconduise,reconduisions,reconduisiez,reconduisent,,,,,,,,,,,,
subjonctif imparfait:reconduisisse,reconduisisses,reconduisÃ®t,reconduisissions,reconduisissiez,reconduisissent,,,,,,,,,,,,
conditionnel présent:reconduirais,reconduirais,reconduirait,reconduirions,reconduiriez,reconduiraient,,,,,,,,,,,,
impératif présent:,reconduis,,reconduisons,reconduisez,,,,,,,,,,,,,
participe présent:,,reconduisant,,,,,,,,,,,,,,,
