timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,ensuis,ensuis,ensuit,ensuis,ensuis,ensuit,,,,
IND-IM,ensuivais,ensuivais,ensuivait,ensuivais,ensuivais,ensuivait,,,,
IND-FS,ensuivrai,ensuivras,ensuivra,ensuivrai,ensuivras,ensuivra,,,,
IND-PS,ensuivis,ensuivis,ensuivit,ensuivis,ensuivis,ensuivit,,,,
SUB-PR,ensuive,ensuives,ensuive,ensuive,ensuives,ensuive,,,,
SUB-IM,ensuivisse,ensuivisses,ensuiv̨t,ensuivisse,ensuivisses,ensuiv̨t,,,,
CON-PR,ensuivrais,ensuivrais,ensuivrait,ensuivrais,ensuivrais,ensuivrait,,,,
IMP-PR,,ensuis,,,ensuis,,,,,
PAR-PR,,,ensuivant,,,ensuivant,,,,
