timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,abats,abats,,abats,abats,,,,,
IND-IM,abattais,abattais,abattait,abattais,abattais,abattait,,,,
IND-FS,abattrai,abattras,abattra,abattrai,abattras,abattra,,,,
IND-PS,abattis,abattis,abattit,abattis,abattis,abattit,,,,
SUB-PR,abatte,abattes,abatte,abatte,abattes,abatte,,,,
SUB-IM,abattisse,abattisses,abatt̨t,abattisse,abattisses,abatt̨t,,,,
CON-PR,abattrais,abattrais,abattrait,abattrais,abattrais,abattrait,,,,
IMP-PR,,abats,,,abats,,,,,
PAR-PR,,,abattant,,,abattant,,,,
