timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,enceins,enceins,enceint,enceins,enceins,enceint,,,,
IND-IM,enceignais,enceignais,enceignait,enceignais,enceignais,enceignait,,,,
IND-FS,enceindrai,enceindras,enceindra,enceindrai,enceindras,enceindra,,,,
IND-PS,enceignis,enceignis,enceignit,enceignis,enceignis,enceignit,,,,
SUB-PR,enceigne,enceignes,enceigne,enceigne,enceignes,enceigne,,,,
SUB-IM,enceignisse,enceignisses,enceign̨t,enceignisse,enceignisses,enceign̨t,,,,
CON-PR,enceindrais,enceindrais,enceindrait,enceindrais,enceindrais,enceindrait,,,,
IMP-PR,,enceins,,,enceins,,,,,
PAR-PR,,,enceignant,,,enceignant,,,,
