1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:souffre,souffres,souffre,souffrons,souffrez,souffrent,,,,,,,,,,,,
indicatif imparfait:souffrais,souffrais,souffrait,souffrions,souffriez,souffraient,,,,,,,,,,,,
indicatif futur simple:souffrirai,souffriras,souffrira,souffrirons,souffrirez,souffriront,,,,,,,,,,,,
indicatif passé simple:souffris,souffris,souffrit,souffrîmes,souffrîtes,souffrirent,,,,,,,,,,,,
subjonctif présent:souffre,souffres,souffre,souffrions,souffriez,souffrent,,,,,,,,,,,,
subjonctif imparfait:souffrisse,souffrisses,souffrÃ®t,souffrissions,souffrissiez,souffrissent,,,,,,,,,,,,
conditionnel présent:souffrirais,souffrirais,souffrirait,souffririons,souffririez,souffriraient,,,,,,,,,,,,
impératif présent:,souffre,,souffrons,souffrez,,,,,,,,,,,,,
participe présent:,,souffrant,,,,,,,,,,,,,,,
