timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,interviens,interviens,intervient,interviens,interviens,intervient,,,,
IND-IM,intervenais,intervenais,intervenait,intervenais,intervenais,intervenait,,,,
IND-FS,interviendrai,interviendras,interviendra,interviendrai,interviendras,interviendra,,,,
IND-PS,intervins,intervins,intervint,intervins,intervins,intervint,,,,
SUB-PR,intervienne,interviennes,intervienne,intervienne,interviennes,intervienne,,,,
SUB-IM,intervinsse,intervinsses,interv̨nt,intervinsse,intervinsses,interv̨nt,,,,
CON-PR,interviendrais,interviendrais,interviendrait,interviendrais,interviendrais,interviendrait,,,,
IMP-PR,,interviens,,,interviens,,,,,
PAR-PR,,,intervenant,,,intervenant,,,,
