1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:dédis,dédis,dédit,dédisons,dédites/dédisez,dédisent,,,,,,,,,,,,
indicatif imparfait:dédisais,dédisais,dédisait,dédisions,dédisiez,dédisaient,,,,,,,,,,,,
indicatif futur simple:dédirai,dédiras,dédira,dédirons,dédirez,dédiront,,,,,,,,,,,,
indicatif passé simple:dédis,dédis,dédit,dédîmes,dédîtes,dédirent,,,,,,,,,,,,
subjonctif présent:dédise,dédises,dédise,dédisions,dédisiez,dédisent,,,,,,,,,,,,
subjonctif imparfait:dédisse,dédisses,dédît,dédissions,dédissiez,dédissent,,,,,,,,,,,,
conditionnel présent:dédirais,dédirais,dédirait,dédirions,dédiriez,dédiraient,,,,,,,,,,,,
impératif présent:,dédis,,dédisons,dédites/dédisez,,,,,,,,,,,,,
participe présent:,,dédisant,,,,,,,,,,,,,,,
