1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:secours,secours,secourt,secourons,secourez,secourent,,,,,,,,,,,,
indicatif imparfait:secourais,secourais,secourait,secourions,secouriez,secouraient,,,,,,,,,,,,
indicatif futur simple:secourrai,secourras,secourra,secourrons,secourrez,secourront,,,,,,,,,,,,
indicatif passé simple:secourus,secourus,secourut,secourûmes,secourûtes,secoururent,,,,,,,,,,,,
subjonctif présent:secoure,secoures,secoure,secourions,secouriez,secourent,,,,,,,,,,,,
subjonctif imparfait:secourusse,secourusses,secourÃ»t,secourussions,secourussiez,secourussent,,,,,,,,,,,,
conditionnel présent:secourrais,secourrais,secourrait,secourrions,secourriez,secourraient,,,,,,,,,,,,
impératif présent:,secours,,secourons,secourez,,,,,,,,,,,,,
participe présent:,,secourant,,,,,,,,,,,,,,,
