1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:recomparais,recomparais,recomparaÃ®t,recomparaissons,recomparaissez,recomparaissent,,,,,,,,,,,,
indicatif imparfait:recomparaissais,recomparaissais,recomparaissait,recomparaissions,recomparaissiez,recomparaissaient,,,,,,,,,,,,
indicatif futur simple:recomparaîtrai,recomparaîtras,recomparaîtra,recomparaîtrons,recomparaîtrez,recomparaîtront,,,,,,,,,,,,
indicatif passé simple:recomparus,recomparus,recomparut,recomparûmes,recomparûtes,recomparurent,,,,,,,,,,,,
subjonctif présent:recomparaisse,recomparaisses,recomparaisse,recomparaissions,recomparaissiez,recomparaissent,,,,,,,,,,,,
subjonctif imparfait:recomparusse,recomparusses,recomparÃ»t,recomparussions,recomparussiez,recomparussent,,,,,,,,,,,,
conditionnel présent:recomparaîtrais,recomparaîtrais,recomparaîtrait,recomparaîtrions,recomparaîtriez,recomparaîtraient,,,,,,,,,,,,
impératif présent:,recomparais,,recomparaissons,recomparaissez,,,,,,,,,,,,,
participe présent:,,recomparaissant,,,,,,,,,,,,,,,
