1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:circoncis,circoncis,circoncit,circoncisons,circoncisez,circoncisent,,,,,,,,,,,,
indicatif imparfait:circoncisais,circoncisais,circoncisait,circoncisions,circoncisiez,circoncisaient,,,,,,,,,,,,
indicatif futur simple:circoncirai,circonciras,circoncira,circoncirons,circoncirez,circonciront,,,,,,,,,,,,
indicatif passé simple:circoncis,circoncis,circoncit,circoncîmes,circoncîtes,circoncirent,,,,,,,,,,,,
subjonctif présent:circoncise,circoncises,circoncise,circoncisions,circoncisiez,circoncisent,,,,,,,,,,,,
subjonctif imparfait:circoncisse,circoncisses,circoncÃ®t,circoncissions,circoncissiez,circoncissent,,,,,,,,,,,,
conditionnel présent:circoncirais,circoncirais,circoncirait,circoncirions,circonciriez,circonciraient,,,,,,,,,,,,
impératif présent:,circoncis,,circoncisons,circoncisez,,,,,,,,,,,,,
participe présent:,,circoncisant,,,,,,,,,,,,,,,
