1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:interviens,interviens,intervient,intervenons,intervenez,interviennent,,,,,,,,,,,,
indicatif imparfait:intervenais,intervenais,intervenait,intervenions,interveniez,intervenaient,,,,,,,,,,,,
indicatif futur simple:interviendrai,interviendras,interviendra,interviendrons,interviendrez,interviendront,,,,,,,,,,,,
indicatif passé simple:intervins,intervins,intervint,intervînmes,intervîntes,intervinrent,,,,,,,,,,,,
subjonctif présent:intervienne,interviennes,intervienne,intervenions,interveniez,interviennent,,,,,,,,,,,,
subjonctif imparfait:intervinsse,intervinsses,intervÃ®nt,intervinssions,intervinssiez,intervinssent,,,,,,,,,,,,
conditionnel présent:interviendrais,interviendrais,interviendrait,interviendrions,interviendriez,interviendraient,,,,,,,,,,,,
impératif présent:,interviens,,intervenons,intervenez,,,,,,,,,,,,,
participe présent:,,intervenant,,,,,,,,,,,,,,,
