timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,retonds,retonds,retond,retonds,retonds,retond,,,,
IND-IM,retondais,retondais,retondait,retondais,retondais,retondait,,,,
IND-FS,retondrai,retondras,retondra,retondrai,retondras,retondra,,,,
IND-PS,retondis,retondis,retondit,retondis,retondis,retondit,,,,
SUB-PR,retonde,retondes,retonde,retonde,retondes,retonde,,,,
SUB-IM,retondisse,retondisses,retond̨t,retondisse,retondisses,retond̨t,,,,
CON-PR,retondrais,retondrais,retondrait,retondrais,retondrais,retondrait,,,,
IMP-PR,,retonds,,,retonds,,,,,
PAR-PR,,,retondant,,,retondant,,,,
