1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:cuis,cuis,cuit,cuisons,cuisez,cuisent,,,,,,,,,,,,
indicatif imparfait:cuisais,cuisais,cuisait,cuisions,cuisiez,cuisaient,,,,,,,,,,,,
indicatif futur simple:cuirai,cuiras,cuira,cuirons,cuirez,cuiront,,,,,,,,,,,,
indicatif passé simple:cuisis,cuisis,cuisit,cuisîmes,cuisîtes,cuisirent,,,,,,,,,,,,
subjonctif présent:cuise,cuises,cuise,cuisions,cuisiez,cuisent,,,,,,,,,,,,
subjonctif imparfait:cuisisse,cuisisses,cuisÃ®t,cuisissions,cuisissiez,cuisissent,,,,,,,,,,,,
conditionnel présent:cuirais,cuirais,cuirait,cuirions,cuiriez,cuiraient,,,,,,,,,,,,
impératif présent:,cuis,,cuisons,cuisez,,,,,,,,,,,,,
participe présent:,,cuisant,,,,,,,,,,,,,,,
