1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:équivaux,équivaux,équivaut,équivalons,équivalez,équivalent,,,,,,,,,,,,
indicatif imparfait:équivalais,équivalais,équivalait,équivalions,équivaliez,équivalaient,,,,,,,,,,,,
indicatif futur simple:équivaudrai,équivaudras,équivaudra,équivaudrons,équivaudrez,équivaudront,,,,,,,,,,,,
indicatif passé simple:équivalus,équivalus,équivalut,équivalûmes,équivalûtes,équivalurent,,,,,,,,,,,,
subjonctif présent:équivaille,équivailles,équivaille,équivalions,équivaliez,équivaillent,,,,,,,,,,,,
subjonctif imparfait:équivalusse,équivalusses,équivalût,équivalussions,équivalussiez,équivalussent,,,,,,,,,,,,
conditionnel présent:équivaudrais,équivaudrais,équivaudrait,équivaudrions,équivaudriez,équivaudraient,,,,,,,,,,,,
impératif présent:,équivaux,,équivalons,équivalez,,,,,,,,,,,,,
participe présent:,,Ã©quivalant,,,,,,,,,,,,,,,
