timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,soutiens,soutiens,soutient,soutiens,soutiens,soutient,,,,
IND-IM,soutenais,soutenais,soutenait,soutenais,soutenais,soutenait,,,,
IND-FS,soutiendrai,soutiendras,soutiendra,soutiendrai,soutiendras,soutiendra,,,,
IND-PS,soutins,soutins,soutint,soutins,soutins,soutint,,,,
SUB-PR,soutienne,soutiennes,soutienne,soutienne,soutiennes,soutienne,,,,
SUB-IM,soutinsse,soutinsses,sout̨nt,soutinsse,soutinsses,sout̨nt,,,,
CON-PR,soutiendrais,soutiendrais,soutiendrait,soutiendrais,soutiendrais,soutiendrait,,,,
IMP-PR,,soutiens,,,soutiens,,,,,
PAR-PR,,,soutenant,,,soutenant,,,,
