1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:contrefais,contrefais,contrefait,contrefaisons,contrefaites,contrefont,,,,,,,,,,,,
indicatif imparfait:contrefaisais,contrefaisais,contrefaisait,contrefaisions,contrefaisiez,contrefaisaient,,,,,,,,,,,,
indicatif futur simple:contreferai,contreferas,contrefera,contreferons,contreferez,contreferont,,,,,,,,,,,,
indicatif passé simple:contrefis,contrefis,contrefit,contrefîmes,contrefîtes,contrefirent,,,,,,,,,,,,
subjonctif présent:contrefasse,contrefasses,contrefasse,contrefassions,contrefassiez,contrefassent,,,,,,,,,,,,
subjonctif imparfait:contrefisse,contrefisses,contrefÃ®t,contrefissions,contrefissiez,contrefissent,,,,,,,,,,,,
conditionnel présent:contreferais,contreferais,contreferait,contreferions,contreferiez,contreferaient,,,,,,,,,,,,
impératif présent:,contrefais,,contrefaisons,contrefaites,,,,,,,,,,,,,
participe présent:,,contrefaisant,,,,,,,,,,,,,,,
