1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:tonds,tonds,tond,tondons,tondez,tondent,,,,,,,,,,,,
indicatif imparfait:tondais,tondais,tondait,tondions,tondiez,tondaient,,,,,,,,,,,,
indicatif futur simple:tondrai,tondras,tondra,tondrons,tondrez,tondront,,,,,,,,,,,,
indicatif passé simple:tondis,tondis,tondit,tondîmes,tondîtes,tondirent,,,,,,,,,,,,
subjonctif présent:tonde,tondes,tonde,tondions,tondiez,tondent,,,,,,,,,,,,
subjonctif imparfait:tondisse,tondisses,tondÃ®t,tondissions,tondissiez,tondissent,,,,,,,,,,,,
conditionnel présent:tondrais,tondrais,tondrait,tondrions,tondriez,tondraient,,,,,,,,,,,,
impératif présent:,tonds,,tondons,tondez,,,,,,,,,,,,,
participe présent:,,tondant,,,,,,,,,,,,,,,
