timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,distends,distends,distend,distends,distends,distend,,,,
IND-IM,distendais,distendais,distendait,distendais,distendais,distendait,,,,
IND-FS,distendrai,distendras,distendra,distendrai,distendras,distendra,,,,
IND-PS,distendis,distendis,distendit,distendis,distendis,distendit,,,,
SUB-PR,distende,distendes,distende,distende,distendes,distende,,,,
SUB-IM,distendisse,distendisses,distend̨t,distendisse,distendisses,distend̨t,,,,
CON-PR,distendrais,distendrais,distendrait,distendrais,distendrais,distendrait,,,,
IMP-PR,,distends,,,distends,,,,,
PAR-PR,,,distendant,,,distendant,,,,
