1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:réinscris,réinscris,réinscrit,réinscrivons,réinscrivez,réinscrivent,,,,,,,,,,,,
indicatif imparfait:réinscrivais,réinscrivais,réinscrivait,réinscrivions,réinscriviez,réinscrivaient,,,,,,,,,,,,
indicatif futur simple:réinscrirai,réinscriras,réinscrira,réinscrirons,réinscrirez,réinscriront,,,,,,,,,,,,
indicatif passé simple:réinscrivis,réinscrivis,réinscrivit,réinscrivîmes,réinscrivîtes,réinscrivirent,,,,,,,,,,,,
subjonctif présent:réinscrive,réinscrives,réinscrive,réinscrivions,réinscriviez,réinscrivent,,,,,,,,,,,,
subjonctif imparfait:réinscrivisse,réinscrivisses,réinscrivît,réinscrivissions,réinscrivissiez,réinscrivissent,,,,,,,,,,,,
conditionnel présent:réinscrirais,réinscrirais,réinscrirait,réinscririons,réinscririez,réinscriraient,,,,,,,,,,,,
impératif présent:,réinscris,,réinscrivons,réinscrivez,,,,,,,,,,,,,
participe présent:,,réinscrivant,,,,,,,,,,,,,,,
