1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:sursois,sursois,sursoit,sursoyons,sursoyez,sursoient,,,,,,,,,,,,
indicatif imparfait:sursoyais,sursoyais,sursoyait,sursoyions,sursoyiez,sursoyaient,,,,,,,,,,,,
indicatif futur simple:surseoirai,surseoiras,surseoira,surseoirons,surseoirez,surseoiront,,,,,,,,,,,,
indicatif passé simple:sursis,sursis,sursit,sursîmes,sursîtes,sursirent,,,,,,,,,,,,
subjonctif présent:sursoie,sursoies,sursoie,sursoyions,sursoyiez,sursoient,,,,,,,,,,,,
subjonctif imparfait:sursisse,sursisses,sursÃ®t,sursissions,sursissiez,sursissent,,,,,,,,,,,,
conditionnel présent:surseoirais,surseoirais,surseoirait,surseoirions,surseoiriez,surseoiraient,,,,,,,,,,,,
impératif présent:,sursois,,sursoyons,sursoyez,,,,,,,,,,,,,
participe présent:,,sursoyant,,,,,,,,,,,,,,,
