1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:suis,es,est,sommes,Ãªtes,sont,,,,,,,,,,,,
indicatif imparfait:étais,étais,était,étions,étiez,étaient,,,,,,,,,,,,
indicatif futur simple:serai,seras,sera,serons,serez,seront,,,,,,,,,,,,
indicatif passé simple:fus,fus,fut,fûmes,fûtes,furent,,,,,,,,,,,,
subjonctif présent:sois,sois,soit,soyons,soyez,soient,,,,,,,,,,,,
subjonctif imparfait:fusse,fusses,fÃ»t,fussions,fussiez,fussent,,,,,,,,,,,,
conditionnel présent:serais,serais,serait,serions,seriez,seraient,,,,,,,,,,,,
impératif présent:,sois,,soyons,soyez,,,,,,,,,,,,,
participe présent:,,Ã©tant,,,,,,,,,,,,,,,
