1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:sied,siÃ©ent,,,,,,,,,,,,,,,,
indicatif imparfait:seyait,seyaient,,,,,,,,,,,,,,,,
indicatif futur simple:siéra,siéront,,,,,,,,,,,,,,,,
indicatif passé simple:,,,,,,,,,,,,,,,,,
subjonctif présent:siée,siéent,,,,,,,,,,,,,,,,
subjonctif imparfait:,,,,,,,,,,,,,,,,,
conditionnel présent:siérait,siéraient,,,,,,,,,,,,,,,,
impératif présent:,,,,,,,,,,,,,,,,,
participe présent:,,séant,eyant,,,,,,,,,,,,,,,
