timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,contrebats,contrebats,,contrebats,contrebats,,,,,
IND-IM,contrebattais,contrebattais,contrebattait,contrebattais,contrebattais,contrebattait,,,,
IND-FS,contrebattrai,contrebattras,contrebattra,contrebattrai,contrebattras,contrebattra,,,,
IND-PS,contrebattis,contrebattis,contrebattit,contrebattis,contrebattis,contrebattit,,,,
SUB-PR,contrebatte,contrebattes,contrebatte,contrebatte,contrebattes,contrebatte,,,,
SUB-IM,contrebattisse,contrebattisses,contrebatt̨t,contrebattisse,contrebattisses,contrebatt̨t,,,,
CON-PR,contrebattrais,contrebattrais,contrebattrait,contrebattrais,contrebattrais,contrebattrait,,,,
IMP-PR,,contrebats,,,contrebats,,,,,
PAR-PR,,,contrebattant,,,contrebattant,,,,
