1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:vais,vas,va,allons,allez,vont,,,,,,,,,,,,
indicatif imparfait:allais,allais,allait,allions,alliez,allaient,,,,,,,,,,,,
indicatif futur simple:irai,iras,ira,irons,irez,iront,,,,,,,,,,,,
indicatif passé simple:allai,allas,alla,allâmes,allâtes,allèrent,,,,,,,,,,,,
subjonctif présent:aille,ailles,aille,allions,alliez,aillent,,,,,,,,,,,,
subjonctif imparfait:allasse,allasses,allÃ¢t,allassions,allassiez,allassent,,,,,,,,,,,,
conditionnel présent:irais,irais,irait,irions,iriez,iraient,,,,,,,,,,,,
impératif présent:,va,,allons,allez,,,,,,,,,,,,,
participe présent:,,allant,,,,,,,,,,,,,,,
