timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,rendors,rendors,rendort,rendors,rendors,rendort,,,,
IND-IM,rendormais,rendormais,rendormait,rendormais,rendormais,rendormait,,,,
IND-FS,rendormirai,rendormiras,rendormira,rendormirai,rendormiras,rendormira,,,,
IND-PS,rendormis,rendormis,rendormit,rendormis,rendormis,rendormit,,,,
SUB-PR,rendorme,rendormes,rendorme,rendorme,rendormes,rendorme,,,,
SUB-IM,rendormisse,rendormisses,rendorm̨t,rendormisse,rendormisses,rendorm̨t,,,,
CON-PR,rendormirais,rendormirais,rendormirait,rendormirais,rendormirais,rendormirait,,,,
IMP-PR,,rendors,,,rendors,,,,,
PAR-PR,,,rendormant,,,rendormant,,,,
