1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:attends,attends,attend,attendons,attendez,attendent,,,,,,,,,,,,
indicatif imparfait:attendais,attendais,attendait,attendions,attendiez,attendaient,,,,,,,,,,,,
indicatif futur simple:attendrai,attendras,attendra,attendrons,attendrez,attendront,,,,,,,,,,,,
indicatif passé simple:attendis,attendis,attendit,attendîmes,attendîtes,attendirent,,,,,,,,,,,,
subjonctif présent:attende,attendes,attende,attendions,attendiez,attendent,,,,,,,,,,,,
subjonctif imparfait:attendisse,attendisses,attendÃ®t,attendissions,attendissiez,attendissent,,,,,,,,,,,,
conditionnel présent:attendrais,attendrais,attendrait,attendrions,attendriez,attendraient,,,,,,,,,,,,
impératif présent:,attends,,attendons,attendez,,,,,,,,,,,,,
participe présent:,,attendant,,,,,,,,,,,,,,,
