timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,retiens,retiens,retient,retiens,retiens,retient,,,,
IND-IM,retenais,retenais,retenait,retenais,retenais,retenait,,,,
IND-FS,retiendrai,retiendras,retiendra,retiendrai,retiendras,retiendra,,,,
IND-PS,retins,retins,retint,retins,retins,retint,,,,
SUB-PR,retienne,retiennes,retienne,retienne,retiennes,retienne,,,,
SUB-IM,retinsse,retinsses,ret̨nt,retinsse,retinsses,ret̨nt,,,,
CON-PR,retiendrais,retiendrais,retiendrait,retiendrais,retiendrais,retiendrait,,,,
IMP-PR,,retiens,,,retiens,,,,,
PAR-PR,,,retenant,,,retenant,,,,
