1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:embats,embats,,embattons,embattez,embattent,,,,,,,,,,,,
indicatif imparfait:embattais,embattais,embattait,embattions,embattiez,embattaient,,,,,,,,,,,,
indicatif futur simple:embattrai,embattras,embattra,embattrons,embattrez,embattront,,,,,,,,,,,,
indicatif passé simple:embattis,embattis,embattit,embattîmes,embattîtes,embattirent,,,,,,,,,,,,
subjonctif présent:embatte,embattes,embatte,embattions,embattiez,embattent,,,,,,,,,,,,
subjonctif imparfait:embattisse,embattisses,embattÃ®t,embattissions,embattissiez,embattissent,,,,,,,,,,,,
conditionnel présent:embattrais,embattrais,embattrait,embattrions,embattriez,embattraient,,,,,,,,,,,,
impératif présent:,embats,,embattons,embattez,,,,,,,,,,,,,
participe présent:,,embattant,,,,,,,,,,,,,,,
