timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,comprends,comprends,comprend,comprends,comprends,comprend,,,,
IND-IM,comprenais,comprenais,comprenait,comprenais,comprenais,comprenait,,,,
IND-FS,comprendrai,comprendras,comprendra,comprendrai,comprendras,comprendra,,,,
IND-PS,compris,compris,comprit,compris,compris,comprit,,,,
SUB-PR,comprenne,comprennes,comprenne,comprenne,comprennes,comprenne,,,,
SUB-IM,comprisse,comprisses,compr̨t,comprisse,comprisses,compr̨t,,,,
CON-PR,comprendrais,comprendrais,comprendrait,comprendrais,comprendrais,comprendrait,,,,
IMP-PR,,comprends,,,comprends,,,,,
PAR-PR,,,comprenant,,,comprenant,,,,
