timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,reluis,reluis,reluit,reluis,reluis,reluit,,,,
IND-IM,reluisais,reluisais,reluisait,reluisais,reluisais,reluisait,,,,
IND-FS,reluirai,reluiras,reluira,reluirai,reluiras,reluira,,,,
IND-PS,reluisis,reluisis,reluisit,reluisis,reluisis,reluisit,,,,
SUB-PR,reluise,reluises,reluise,reluise,reluises,reluise,,,,
SUB-IM,reluisisse,reluisisses,reluis̨t,reluisisse,reluisisses,reluis̨t,,,,
CON-PR,reluirais,reluirais,reluirait,reluirais,reluirais,reluirait,,,,
IMP-PR,,reluis,,,reluis,,,,,
PAR-PR,,,reluisant,,,reluisant,,,,
PAR-PA,,,,,,,,,,
